"Country","age_band","comorbidities","Count","Percent"
"India","0-19","asthma",37,13.6029411764706
"India","0-19","diabetes_type_one",15,5.51470588235294
"India","0-19","diabetes_type_two",19,6.98529411764706
"India","0-19","heart_disease",15,5.51470588235294
"India","0-19","hypertension",33,12.1323529411765
"India","0-19","kidney_disease",20,7.35294117647059
"India","0-19","liver_disease",18,6.61764705882353
"India","0-19","lung_condition",26,9.55882352941176
"India","0-19","obesity",89,32.7205882352941
"India","20-39","asthma",580,10.1665205959684
"India","20-39","diabetes_type_one",146,2.55915863277826
"India","20-39","diabetes_type_two",454,7.95793163891323
"India","20-39","heart_disease",99,1.7353198948291
"India","20-39","hypertension",1108,19.421560035057
"India","20-39","kidney_disease",141,2.4715162138475
"India","20-39","liver_disease",187,3.27782646801052
"India","20-39","lung_condition",334,5.85451358457493
"India","20-39","obesity",2656,46.555652936021
"India","40-59","asthma",340,5.23560209424084
"India","40-59","diabetes_type_one",1313,20.218663381583
"India","40-59","diabetes_type_two",1181,18.1860178626424
"India","40-59","heart_disease",152,2.34062211271943
"India","40-59","hypertension",1984,30.5512781028642
"India","40-59","kidney_disease",59,0.908530951647675
"India","40-59","liver_disease",88,1.35509701262704
"India","40-59","lung_condition",136,2.09424083769634
"India","40-59","obesity",1241,19.1099476439791
"India","60+","asthma",154,7.26072607260726
"India","60+","diabetes_type_one",94,4.43187175860443
"India","60+","diabetes_type_two",544,25.6482791136256
"India","60+","heart_disease",165,7.77934936350778
"India","60+","hypertension",803,37.8595002357379
"India","60+","kidney_disease",36,1.6973125884017
"India","60+","liver_disease",25,1.17868929750118
"India","60+","lung_condition",89,4.1961338991042
"India","60+","obesity",211,9.94813767090995
"Pakistan","0-19","asthma",54,21.09375
"Pakistan","0-19","diabetes_type_one",15,5.859375
"Pakistan","0-19","diabetes_type_two",12,4.6875
"Pakistan","0-19","heart_disease",13,5.078125
"Pakistan","0-19","hypertension",34,13.28125
"Pakistan","0-19","kidney_disease",17,6.640625
"Pakistan","0-19","lung_condition",28,10.9375
"Pakistan","0-19","obesity",83,32.421875
"Pakistan","20-39","asthma",509,12.7377377377377
"Pakistan","20-39","diabetes_type_one",91,2.27727727727728
"Pakistan","20-39","diabetes_type_two",262,6.55655655655656
"Pakistan","20-39","heart_disease",56,1.4014014014014
"Pakistan","20-39","hypertension",776,19.4194194194194
"Pakistan","20-39","kidney_disease",106,2.65265265265265
"Pakistan","20-39","liver_disease",102,2.55255255255255
"Pakistan","20-39","lung_condition",257,6.43143143143143
"Pakistan","20-39","obesity",1837,45.970970970971
"Pakistan","40-59","asthma",152,6.60008684324794
"Pakistan","40-59","diabetes_type_one",134,5.81849761181068
"Pakistan","40-59","diabetes_type_two",422,18.3239253148068
"Pakistan","40-59","heart_disease",102,4.42900564481112
"Pakistan","40-59","hypertension",747,32.4359531046461
"Pakistan","40-59","kidney_disease",55,2.3881893182805
"Pakistan","40-59","liver_disease",58,2.51845419018671
"Pakistan","40-59","lung_condition",79,3.43030829353018
"Pakistan","40-59","obesity",554,24.05557967868
"Pakistan","60+","asthma",43,5.68783068783069
"Pakistan","60+","diabetes_type_one",66,8.73015873015873
"Pakistan","60+","diabetes_type_two",166,21.957671957672
"Pakistan","60+","heart_disease",89,11.7724867724868
"Pakistan","60+","hypertension",228,30.1587301587302
"Pakistan","60+","kidney_disease",34,4.4973544973545
"Pakistan","60+","liver_disease",25,3.30687830687831
"Pakistan","60+","lung_condition",37,4.89417989417989
"Pakistan","60+","obesity",68,8.99470899470899
"United Kingdom","0-19","asthma",29,54.7169811320755
"United Kingdom","0-19","heart_disease",11,20.7547169811321
"United Kingdom","0-19","obesity",13,24.5283018867925
"United Kingdom","20-39","asthma",258,35.2941176470588
"United Kingdom","20-39","diabetes_type_one",23,3.14637482900137
"United Kingdom","20-39","diabetes_type_two",35,4.78796169630643
"United Kingdom","20-39","heart_disease",23,3.14637482900137
"United Kingdom","20-39","hypertension",76,10.3967168262654
"United Kingdom","20-39","kidney_disease",18,2.46238030095759
"United Kingdom","20-39","liver_disease",19,2.59917920656635
"United Kingdom","20-39","lung_condition",27,3.69357045143639
"United Kingdom","20-39","obesity",252,34.4733242134063
"United Kingdom","40-59","asthma",658,24.6996996996997
"United Kingdom","40-59","diabetes_type_one",45,1.68918918918919
"United Kingdom","40-59","diabetes_type_two",278,10.4354354354354
"United Kingdom","40-59","heart_disease",89,3.34084084084084
"United Kingdom","40-59","hypertension",702,26.3513513513513
"United Kingdom","40-59","kidney_disease",43,1.61411411411411
"United Kingdom","40-59","liver_disease",42,1.57657657657658
"United Kingdom","40-59","lung_condition",140,5.25525525525526
"United Kingdom","40-59","obesity",667,25.0375375375375
"United Kingdom","60+","asthma",348,13.6846244593
"United Kingdom","60+","diabetes_type_one",37,1.45497443963822
"United Kingdom","60+","diabetes_type_two",336,13.2127408572552
"United Kingdom","60+","heart_disease",189,7.43216673220606
"United Kingdom","60+","hypertension",838,32.9532048761306
"United Kingdom","60+","kidney_disease",45,1.76956350766811
"United Kingdom","60+","liver_disease",24,0.943767204089658
"United Kingdom","60+","lung_condition",304,11.9543845851357
"United Kingdom","60+","obesity",422,16.5945733385765
