"country","symptoms","value"
"A","chills",28.7422179005586
"A","chills",28.7422179005586
"A","chills",28.7422179005586
"A","chills",28.7422179005586
"A","cough",28.7075462725482
"A","cough",28.7075462725482
"A","cough",28.7075462725482
"A","cough",28.7075462725482
"A","diarrhoea",23.8739111740614
"A","diarrhoea",23.8739111740614
"A","diarrhoea",23.8739111740614
"A","diarrhoea",23.8739111740614
"A","headache",20.851800618181
"A","headache",20.851800618181
"A","headache",20.851800618181
"A","headache",20.851800618181
"A","loss_appetite",24.0546383595642
"A","loss_appetite",24.0546383595642
"A","loss_appetite",24.0546383595642
"A","loss_appetite",44.0546383595642
"A","loss_smell_taste",71.2230059900581
"A","loss_smell_taste",71.2230059900581
"A","loss_smell_taste",71.2230059900581
"A","loss_smell_taste",71.2230059900581
"A","muscle_ache",49.2420960258425
"A","muscle_ache",49.2420960258425
"A","muscle_ache",49.2420960258425
"A","muscle_ache",49.2420960258425
"A","nasal_congestion",53.3292115633918
"A","nasal_congestion",53.3292115633918
"A","nasal_congestion",53.3292115633918
"A","nasal_congestion",53.3292115633918
"A","nausea_vomiting",24.8300830111906
"A","nausea_vomiting",24.8300830111906
"A","nausea_vomiting",24.8300830111906
"A","shortness_breath",28.3742245726875
"A","shortness_breath",28.3742245726875
"A","shortness_breath",28.3742245726875
"A","shortness_breath",28.3742245726875
"A","sore_throat",43.1382879664041
"A","sore_throat",43.1382879664041
"A","sore_throat",43.1382879664041
"A","sore_throat",43.1382879664041
"A","sputum",29.9687401664869
"A","sputum",29.9687401664869
"A","sputum",29.9687401664869
"A","sputum",29.9687401664869
"A","temperature",28.8864672495858
"A","temperature",28.8864672495858
"A","temperature",28.8864672495858
"A","temperature",28.8864672495858
"B","chills",30.0973334460683
"B","chills",30.0973334460683
"B","chills",30.0973334460683
"B","chills",30.0973334460683
"B","cough",57.0424116137737
"B","cough",57.0424116137737
"B","cough",57.0424116137737
"B","cough",57.0424116137737
"B","diarrhoea",32.6601349813047
"B","diarrhoea",32.6601349813047
"B","diarrhoea",32.6601349813047
"B","diarrhoea",32.6601349813047
"B","headache",42.807737355302
"B","headache",42.807737355302
"B","headache",42.807737355302
"B","headache",42.807737355302
"B","loss_appetite",31.2543021259982
"B","loss_appetite",31.2543021259982
"B","loss_appetite",31.2543021259982
"B","loss_appetite",31.2543021259982
"B","loss_smell_taste",52.0295220965807
"B","loss_smell_taste",52.0295220965807
"B","loss_smell_taste",52.0295220965807
"B","loss_smell_taste",52.0295220965807
"B","muscle_ache",39.2341046931536
"B","muscle_ache",39.2341046931536
"B","muscle_ache",39.2341046931536
"B","muscle_ache",39.2341046931536
"B","nasal_congestion",41.1450381459936
"B","nasal_congestion",41.1450381459936
"B","nasal_congestion",41.1450381459936
"B","nasal_congestion",41.1450381459936
"B","nausea_vomiting",25.0918072310409
"B","nausea_vomiting",25.0918072310409
"B","nausea_vomiting",25.0918072310409
"B","nausea_vomiting",25.0918072310409
"B","shortness_breath",28.2892933014731
"B","shortness_breath",28.2892933014731
"B","shortness_breath",28.2892933014731
"B","shortness_breath",28.2892933014731
"B","sore_throat",44.8122092901534
"B","sore_throat",44.8122092901534
"B","sore_throat",44.8122092901534
"B","sore_throat",44.8122092901534
"B","sputum",33.0096947538106
"B","sputum",33.0096947538106
"B","sputum",33.0096947538106
"B","sputum",33.0096947538106
"B","temperature",50.7324564264298
"B","temperature",50.7324564264298
"B","temperature",50.7324564264298
"B","temperature",50.7324564264298
"C","chills",37.4355020188941
"C","chills",37.4355020188941
"C","chills",37.4355020188941
"C","chills",37.4355020188941
"C","cough",62.0820057073543
"C","cough",62.0820057073543
"C","cough",62.0820057073543
"C","cough",62.0820057073543
"C","diarrhoea",46.419040310312
"C","diarrhoea",46.419040310312
"C","diarrhoea",46.419040310312
"C","diarrhoea",46.419040310312
"C","headache",68.6114271475189
"C","headache",68.6114271475189
"C","headache",68.6114271475189
"C","headache",68.6114271475189
"C","loss_appetite",32.4453875400752
"C","loss_appetite",32.4453875400752
"C","loss_appetite",32.4453875400752
"C","loss_appetite",32.4453875400752
"C","loss_smell_taste",66.6301411545106
"C","loss_smell_taste",66.6301411545106
"C","loss_smell_taste",66.6301411545106
"C","loss_smell_taste",66.6301411545106
"C","muscle_ache",57.5008611857099
"C","muscle_ache",57.5008611857099
"C","muscle_ache",57.5008611857099
"C","muscle_ache",57.5008611857099
"C","nasal_congestion",52.2585827208154
"C","nasal_congestion",52.2585827208154
"C","nasal_congestion",52.2585827208154
"C","nasal_congestion",52.2585827208154
"C","nausea_vomiting",24.9341761477179
"C","nausea_vomiting",24.9341761477179
"C","nausea_vomiting",24.9341761477179
"C","nausea_vomiting",24.9341761477179
"C","shortness_breath",34.8364020501775
"C","shortness_breath",34.8364020501775
"C","shortness_breath",34.8364020501775
"C","shortness_breath",34.8364020501775
"C","sore_throat",52.6199184162002
"C","sore_throat",52.6199184162002
"C","sore_throat",52.6199184162002
"C","sore_throat",52.6199184162002
"C","sputum",27.1041026029093
"C","sputum",27.1041026029093
"C","sputum",27.1041026029093
"C","sputum",27.1041026029093
"C","temperature",41.1549086749165
"C","temperature",41.1549086749165
"C","temperature",41.1549086749165
"C","temperature",41.1549086749165
"D","chills",29.6766142820325
"D","chills",29.6766142820325
"D","chills",29.6766142820325
"D","chills",29.6766142820325
"D","cough",61.0000949815579
"D","cough",61.0000949815579
"D","cough",61.0000949815579
"D","cough",61.0000949815579
"D","diarrhoea",42.081468241107
"D","diarrhoea",42.081468241107
"D","diarrhoea",42.081468241107
"D","diarrhoea",42.081468241107
"D","headache",52.6145194466445
"D","headache",52.6145194466445
"D","headache",52.6145194466445
"D","headache",52.6145194466445
"D","loss_appetite",36.5209021008743
"D","loss_appetite",36.5209021008743
"D","loss_appetite",36.5209021008743
"D","loss_appetite",36.5209021008743
"D","loss_smell_taste",59.1108465698673
"D","loss_smell_taste",59.1108465698673
"D","loss_smell_taste",59.1108465698673
"D","loss_smell_taste",59.1108465698673
"D","muscle_ache",45.0777369147665
"D","muscle_ache",45.0777369147665
"D","muscle_ache",45.0777369147665
"D","muscle_ache",45.0777369147665
"D","nasal_congestion",46.4063069414164
"D","nasal_congestion",46.4063069414164
"D","nasal_congestion",46.4063069414164
"D","nasal_congestion",46.4063069414164
"D","nausea_vomiting",27.269379211813
"D","nausea_vomiting",27.269379211813
"D","nausea_vomiting",27.269379211813
"D","nausea_vomiting",27.269379211813
"D","shortness_breath",35.4122961162888
"D","shortness_breath",35.4122961162888
"D","shortness_breath",35.4122961162888
"D","shortness_breath",35.4122961162888
"D","sore_throat",52.4119435757225
"D","sore_throat",52.4119435757225
"D","sore_throat",52.4119435757225
"D","sore_throat",52.4119435757225
"D","sputum",36.1508658790068
"D","sputum",36.1508658790068
"D","sputum",36.1508658790068
"D","sputum",36.1508658790068
"D","temperature",63.6022346184979
"D","temperature",63.6022346184979
"D","temperature",63.6022346184979
"D","temperature",63.6022346184979
"E","chills",58.2976363407388
"E","chills",58.2976363407388
"E","chills",58.2976363407388
"E","cough",79.5526957704176
"E","cough",79.5526957704176
"E","cough",79.5526957704176
"E","cough",79.5526957704176
"E","diarrhoea",47.0476222165607
"E","diarrhoea",47.0476222165607
"E","diarrhoea",47.0476222165607
"E","diarrhoea",47.0476222165607
"E","headache",87.0694028202805
"E","headache",87.0694028202805
"E","headache",87.0694028202805
"E","loss_appetite",20.6578947368421
"E","loss_smell_taste",82.9015258770431
"E","loss_smell_taste",82.9015258770431
"E","loss_smell_taste",82.9015258770431
"E","muscle_ache",84.0754846705914
"E","muscle_ache",84.0754846705914
"E","muscle_ache",84.0754846705914
